Zona,Transecto,Sp,Hora,Alt_Suelo,Sutrato,Ta_corporal,Ta_sustrato,Ta_ambiente,LRC,Actividad
perturbada,3,C_stejnegerianus,20:04,24,Planta,14.60,14.50,16.50,11.50,Inactivo
perturbada,3,C_stejnegerianus,20:30,0,Suelo,17.10,16.50,15.50,22.30,Inactivo
perturbada,3,C_stejnegerianus,20:47,0,Suelo,17.20,18.00,15.50,11.80,Inactivo
perturbada,3,C_stejnegerianus,20:56,0,Suelo,,,15.50,,Saltando
perturbada,7,C_stejnegerianus,21:07,0,Suelo,17.00,17.00,15.50,20.70,Saltando
perturbada,4,C_stejnegerianus,20:07,8,Planta,19.70,19.90,19.50,18.90,Inactivo
perturbada,13,C_stejnegerianus,20:11,0,Hojarasca,18.10,18.00,18.00,15.20,Inactivo
perturbada,13,C_stejnegerianus,20:49,0,Hojarasca,15.80,15.90,17.50,22.10,Inactivo
perturbada,13,C_stejnegerianus,21:01,0,Hojarasca,15.80,16.20,17.00,15.30,Inactivo
perturbada,13,C_stejnegerianus,21:01,0,Hojarasca,18.20,17.90,17.00,,Inactivo
perturbada,13,C_stejnegerianus,21:10,0,Hojarasca,15.00,15.10,16.50,21.50,Inactivo
perturbada,13,C_stejnegerianus,21:41,0,Hojarasca,13.40,13.30,16.50,16.20,Saltando
perturbada,2,C_stejnegerianus,19:48,19,Planta,,,17.00,,Inactivo
perturbada,10,C_stejnegerianus,19:14,18,Planta,16.40,16.30,19.50,23.00,Inactivo
perturbada,10,C_stejnegerianus,19:47,9,Planta,21.20,21.40,19.00,15.10,Inactivo
perturbada,5,C_stejnegerianus,21:06,12,Planta,16.10,16.30,16.00,21.50,Inactivo
perturbada,11,C_stejnegerianus,19:41,0,Hojarasca,20.10,19.80,20.50,21.90,Saltando
perturbada,11,C_stejnegerianus,19:45,0,Suelo,19.20,18.80,20.50,20.80,Inactivo
perturbada,11,C_stejnegerianus,19:49,0,Suelo,18.90,19.10,20.50,20.30,Inactivo
perturbada,11,C_stejnegerianus,19:53,0,Hojarasca,19.20,19.20,19.00,22.20,Saltando
perturbada,11,C_stejnegerianus,20:05,0,Suelo,18.70,18.80,18.50,20.00,Inactivo
perturbada,11,C_stejnegerianus,20:11,20,Planta,18.70,18.60,18.50,21.50,Inactivo
perturbada,11,C_stejnegerianus,20:12,15,Planta,18.40,18.30,18.50,,Saltando
perturbada,11,C_stejnegerianus,20:21,12,Planta,19.90,19.70,18.50,22.10,Inactivo
perturbada,11,C_stejnegerianus,20:24,5,Planta,19.20,19.00,18.50,20.50,Inactivo
perturbada,11,C_stejnegerianus,20:29,4,Planta,19.60,19.80,18.50,21.10,Saltando
perturbada,1,C_stejnegerianus,21:39,10,Planta,18.40,18.30,19.00,,Inactivo
